ticker,timeframe,bar_close_utc,bar_close_est,signal,close_price,executed_by_bot
NVDA,1H,2026-04-07 13:00 UTC,2026-04-07 09:00 ET,SHORT,175.3399,NO (pre/post market)
AMZN,1H,2026-04-06 15:00 UTC,2026-04-06 11:00 ET,LONG,212.5788,YES
MSFT,1H,2026-04-06 09:00 UTC,2026-04-06 05:00 ET,LONG,375.94,NO (pre/post market)
NVDA,1H,2026-04-02 21:00 UTC,2026-04-02 17:00 ET,LONG,176.9,NO (pre/post market)
TSLA,1H,2026-04-02 12:00 UTC,2026-04-02 08:00 ET,SHORT,369.0,NO (pre/post market)
AMZN,1H,2026-04-02 10:00 UTC,2026-04-02 06:00 ET,SHORT,206.3,NO (pre/post market)
NVDA,1H,2026-04-02 09:00 UTC,2026-04-02 05:00 ET,SHORT,171.77,NO (pre/post market)
AAPL,4H,2026-04-01 21:30 UTC,2026-04-01 17:30 ET,LONG,254.9831,NO (pre/post market)
MSFT,1H,2026-04-01 21:00 UTC,2026-04-01 17:00 ET,SHORT,369.826,NO (pre/post market)
TSLA,1H,2026-03-31 17:00 UTC,2026-03-31 13:00 ET,LONG,368.29,YES
NVDA,1H,2026-03-31 16:00 UTC,2026-03-31 12:00 ET,LONG,172.915,YES
MSFT,1H,2026-03-31 15:00 UTC,2026-03-31 11:00 ET,LONG,363.93,YES
AMZN,1H,2026-03-31 15:00 UTC,2026-03-31 11:00 ET,LONG,205.35,YES
AAPL,4H,2026-03-30 17:30 UTC,2026-03-30 13:30 ET,SHORT,246.0,YES
AMZN,1H,2026-03-26 21:00 UTC,2026-03-26 17:00 ET,SHORT,207.92,NO (pre/post market)
NVDA,1H,2026-03-26 15:00 UTC,2026-03-26 11:00 ET,SHORT,174.6599,YES
TSLA,1H,2026-03-26 10:00 UTC,2026-03-26 06:00 ET,SHORT,381.54,NO (pre/post market)
AMZN,1H,2026-03-25 15:00 UTC,2026-03-25 11:00 ET,LONG,210.9701,YES
NVDA,1H,2026-03-25 13:00 UTC,2026-03-25 09:00 ET,LONG,178.155,NO (pre/post market)
AMZN,1H,2026-03-24 17:00 UTC,2026-03-24 13:00 ET,SHORT,207.49,YES
