ticker,timeframe,bar_close_utc,bar_close_est,signal,close_price
WMT,4H,2026-02-03 14:30 UTC,2026-02-03 09:30 ET,LONG,126.88
MRNA,4H,2026-02-02 14:30 UTC,2026-02-02 09:30 ET,SHORT,43.345
CRM,3H,2026-01-30 14:30 UTC,2026-01-30 09:30 ET,SHORT,212.11
INTU,4H,2026-01-30 14:30 UTC,2026-01-30 09:30 ET,SHORT,500.615
INTU,3H,2026-01-29 20:30 UTC,2026-01-29 15:30 ET,SHORT,502.98
CRM,2H,2026-01-29 18:30 UTC,2026-01-29 13:30 ET,SHORT,212.0401
INTU,2H,2026-01-29 16:30 UTC,2026-01-29 11:30 ET,SHORT,494.72
LLY,3H,2026-01-28 17:30 UTC,2026-01-28 12:30 ET,SHORT,1016.77
LLY,2H,2026-01-28 14:30 UTC,2026-01-28 09:30 ET,SHORT,1016.105
MRNA,3H,2026-01-28 14:30 UTC,2026-01-28 09:30 ET,SHORT,44.62
INTU,4H,2026-01-27 18:30 UTC,2026-01-27 13:30 ET,LONG,545.315
WMT,4H,2026-01-27 14:30 UTC,2026-01-27 09:30 ET,SHORT,116.445
MRNA,2H,2026-01-27 14:30 UTC,2026-01-27 09:30 ET,SHORT,48.86
CRM,3H,2026-01-23 20:30 UTC,2026-01-23 15:30 ET,LONG,228.04
INTU,3H,2026-01-23 20:30 UTC,2026-01-23 15:30 ET,LONG,563.965
LLY,3H,2026-01-23 17:30 UTC,2026-01-23 12:30 ET,LONG,1070.05
INTU,2H,2026-01-23 16:30 UTC,2026-01-23 11:30 ET,LONG,560.14
CRM,2H,2026-01-23 14:30 UTC,2026-01-23 09:30 ET,LONG,228.57
LLY,2H,2026-01-22 14:30 UTC,2026-01-22 09:30 ET,LONG,1083.9
LLY,4H,2026-01-15 18:30 UTC,2026-01-15 13:30 ET,SHORT,1032.51
LLY,3H,2026-01-15 17:30 UTC,2026-01-15 12:30 ET,SHORT,1031.92
